"","x"
"1",0
"2",4.4444444433
"3",78.888888887
"4",48.33333333
"5",75.83333333
"6",73.125
"7",63.33333333
"8",48.75
"9",0
"10",0
"11",10.833333335
"12",0
"13",15
"14",29.16666667
"15",61.944444443
"16",75.27777778
"17",70.833333333
"18",71.666666667
"19",61.666666665
"20",0
"21",34.583333335
"22",0
"23",6.666666665
"24",4.375
"25",52.91666667
"26",62.083333335
"27",74.166666665
"28",76.458333333
"29",50.555555557
"30",66.507936507
"31",24.791666668
"32",0
"33",0
"34",0
"35",4.5833333335
"36",0
"37",62.083333335
"38",42.63888889
"39",86.944444443
"40",78.981481483
"41",67.666666665
"42",40.555555556
"43",30.833333335
"44",2.0833333335
"45",0
"46",0
"47",0
"48",0
"49",42.222222223
"50",56.458333333
"51",74
"52",39.62962963
"53",49.583333333
"54",59.58333333
"55",0
"56",0
"57",21.666666669
"58",0
"59",10.833333335
"60",60
"61",63.54166667
"62",69.583333335
"63",80.833333335
"64",41.944444446
"65",41.66666667
"66",0
"67",0
"68",0
"69",0
"70",14.166666665
"71",0
"72",41.11111111
"73",50
"74",75
"75",74.166666665
"76",62.5
"77",27.083333335
"78",0
"79",0
"80",0
"81",16.66666667
"82",14.375
"83",67.083333335
"84",51.25
"85",72.5
"86",83.194444445
"87",75
"88",27.083333335
"89",33.333333335
"90",0
"91",9.166666667
"92",0
"93",0
"94",0
"95",2.5
"96",19.16666667
"97",68.333333335
"98",64.166666665
"99",55.41666667
"100",21.11111111
"101",11.38888889
"102",0
"103",0
"104",0
"105",0
"106",12.916666665
"107",40.416666665
"108",75.277777777
"109",71.11111111
"110",47.5
"111",52.314814817
"112",42.777777777
"113",23.75
"114",0
"115",0
"116",0
"117",0
"118",13.888888887
"119",61.66666667
"120",64.583333335
"121",72.9166666675
"122",81.25
"123",50.83333333
"124",0
"125",0
"126",0
"127",0
"128",0
"129",0
"130",0
"131",48.33333333
"132",35.83333333
"133",80.416666665
"134",69.79166667
"135",50
"136",28.75
"137",5.833333333
"138",0
"139",14.166666665
"140",0
"141",30.833333335
"142",56.666666665
"143",77.4345574360593
"144",95
"145",0
"146",4.4444444433
"147",78.888888887
"148",48.33333333
"149",75.83333333
"150",73.125
"151",63.33333333
