Year,Month,Station,LimacinaDensity,Log10LimDensity,AragSatHorDepth,Arag40m,upper100mArag,LimDen_3mo,Log10LimDen_3mo,AragSat_3mo,Arag40m_3mo,upper100mArag_3mo
2006,1,,,,,,,1.527535296,0.402536185,84,1.661518983,1.459455065
2006,2,NH25,1.59635478,0.414364037,107,1.749790318,1.699820891,1.59635478,0.414364037,107,1.749790318,1.699820891
2006,3,,,,,,,22.04159599,0.981253722,109,1.758269354,1.684256085
2006,4,NH25,42.48683721,1.548143407,111,1.766748389,1.66869128,73.82183162,1.616208447,111.5,1.702420818,1.644073478
2006,5,NH25,105.156826,1.684273487,112,1.638093247,1.619455677,81.15068923,1.739443319,102.6666667,1.734533656,1.621146768
2006,6,NH25,95.80840444,1.985913062,85,1.798759331,1.575293348,71.70419685,1.616841166,88.33333333,1.60162956,1.512737478
2006,7,NH25,14.14736008,1.18033695,68,1.368036103,1.343463408,36.65192151,1.055416671,70.33333333,1.498346392,1.383885602
2006,8,NH25,0,0,58,1.328243743,1.232900049,5.218292552,0.494060542,62.66666667,1.370478253,1.291151941
2006,9,NH25,1.507517576,0.301844676,62,1.415154913,1.297092366,0.702430458,0.157670453,56.66666667,1.282585851,1.217493795
2006,10,NH25,0.5997738,0.171166682,50,1.104358898,1.122488969,1.053645688,0.236505679,56,1.259756906,1.209790668
2006,11,,,,,,,1.167754663,0.304120396,79.5,1.45692217,1.391047885
2006,12,NH25,1.735735526,0.43707411,109,1.809485441,1.6596068,1.135810199,0.297622427,115.5,1.790617654,1.688717319
2007,1,NH25,0.535884871,0.158170743,122,1.771749866,1.717827838,6.879338892,0.627431222,109.6666667,1.759439673,1.655871039
2007,2,NH25,18.36639628,1.287048814,98,1.697083712,1.59017848,6.300760384,0.481739852,108.6666667,1.722739542,1.635596938
2007,3,NH25,0,0,106,1.699385047,1.598784495,10.55768545,0.814195691,99.66666667,1.677412526,1.568367278
