SigmaPlotDate,YYYY,MM,NPGO,PDO,ONI,Station,Mean(Limacina density),Mean(Log10Density),Mean(AragoniteSat(40m)),Mean(upper 100mArag)
05/16/1996,1996,5,-1.27,2.18,-0.2,NH05,17.3167864,1.2628492809,,
06/16/1996,1996,6,-1.06,1.1,-0.2,NH05,0,0,,
07/16/1996,1996,7,-0.88,0.77,-0.2,NH05,0,0,,
08/16/1996,1996,8,-0.75,-0.14,-0.3,NH05,3.0144035585,0.4234408128,,
09/16/1996,1996,9,-0.93,0.24,-0.3,NH05,0,0,,
10/16/1996,1996,10,-1.04,-0.33,-0.4,NH05,0,0,,
11/16/1996,1996,11,-1.1,0.09,-0.4,NH05,4.629072657,0.7504368543,,
12/16/1996,1996,12,-1.35,-0.03,-0.5,NH05,0,0,,
01/16/1997,1997,1,-1.64,0.23,-0.5,,,,,
02/16/1997,1997,2,-1.11,0.28,-0.4,NH05,0,0,,
03/16/1997,1997,3,-0.62,0.65,-0.2,NH05,0,0,,
04/16/1997,1997,4,-0.51,1.05,0.1,NH05,6.684521745,0.5787139296,,
05/16/1997,1997,5,-0.88,1.83,0.6,NH05,7.9617408733,0.4653138434,,
06/16/1997,1997,6,-0.94,2.76,1,NH05,0,0,,
07/16/1997,1997,7,-0.77,2.35,1.4,NH05,1.470159825,0.1843456074,,
08/16/1997,1997,8,-0.79,2.79,1.7,NH05,5.4865624623,0.4995976706,,
09/16/1997,1997,9,-0.48,2.19,2,NH05,12.910355305,0.976860978,,
10/16/1997,1997,10,-0.59,1.61,2.2,NH05,0,0,,
11/16/1997,1997,11,0.17,1.12,2.3,NH05,19.46241227,1.284425238,,
12/16/1997,1997,12,0.26,0.67,2.3,NH05,0,0,,
01/16/1998,1998,1,0.53,0.83,2.1,NH05,19.89195285,1.319979037,,
02/16/1998,1998,2,1.9,1.56,1.8,,,,,
03/16/1998,1998,3,0.89,2.01,1.4,NH05,0,0,,
04/16/1998,1998,4,0.52,1.27,1,NH05,0,0,,
05/16/1998,1998,5,0.28,0.7,0.5,NH05,34.148026703,1.313426957,,
06/16/1998,1998,6,0.12,0.4,-0.1,NH05,87.28776711,1.9126138306,,
07/16/1998,1998,7,0.39,-0.04,-0.7,NH05,21.253258913,0.9989957656,,
08/16/1998,1998,8,0.27,-0.22,-1,NH05,146.67538323,2.1496162165,0.763582778,0.9856861255
09/16/1998,1998,9,0.04,-1.21,-1.2,NH05,164.88765838,2.1316738544,0.936363627,1.0023294965
10/16/1998,1998,10,0.1,-1.39,-1.2,NH05,1138.452076,3.056696064,,
11/16/1998,1998,11,0.72,-0.52,-1.3,NH05,16.23040247,1.0487035685,1.467826923,1.4466093323
