YYYY,MM,Station,N Rows,Limacina density,%CorrosiveOf60mWatCol,%CorrosiveOf100mWatCol,Upper20mT,Upper20mS,Aragonite(40m),NPGO,PDO,ONI,MinSatHorizonDepth(m)
2006,2,NH25,1,1.59635478,0,0,10.31905999,31.80167007,1.749790318,-1.07,0.66,-0.6,106.5
2006,4,NH25,2,42.486837205,0,0.75,10.939937495,32.533854965,1.766748389,-0.57,0.4,-0.2,107.75
2006,5,NH25,2,105.15682604,0,0,12.1541425,31.1772975,1.638093247,-0.12,0.48,0,111.5
2006,6,NH25,1,95.80840444,0,15,14.50524998,31.46310024,1.798759331,-0.13,1.04,0.1,85
2006,7,NH25,1,14.14736008,0,31,13.61008997,31.56908512,1.368036103,-0.5,0.35,0.2,69
2006,8,NH25,2,0,5.416666665,39.75,12.427884195,32.323674865,1.328243743,-0.37,-0.65,0.3,60.25
2006,9,NH25,2,1.5075175755,0,38,12.332259035,32.27939411,1.415154913,-0.34,-0.94,0.5,62
2006,10,NH25,2,0.5997737995,15,49,10.423000005,32.716957475,1.104358898,-1.05,-0.05,0.8,51
2006,12,NH25,1,1.735735526,0,0,11.24507499,32.76144962,1.809485441,-0.16,0.14,1,109
2007,1,NH25,2,0.535884871,0,0,9.9870524165,32.54044728,1.771749866,-0.41,0.01,0.7,121.5
2007,2,NH25,1,18.36639628,0,2.5,9.448990059,31.97232504,1.697083712,-0.14,0.04,0.3,97.5
2007,3,NH25,2,0,0,0,10.008729153,32.28418629,1.699385047,-0.55,-0.36,0,105.75
2007,4,NH25,1,13.30666007,0,3.5,9.815655443,32.39354451,1.635768819,0.26,0.16,-0.1,96.5
2007,5,NH25,1,127.5673935,0,3,10.48290539,31.19252115,1.827594729,0.69,-0.1,-0.2,97
2007,6,NH25,2,36.865495121,0,9,13.64457755,31.42444248,1.6591568675,1.23,0.09,-0.2,91
2007,7,NH25,2,3.5459771775,0,20.75,16.47637494,31.05945001,1.3585322695,1.23,0.78,-0.3,79.25
2007,8,NH25,3,0,14.444444443,41.833333333,12.336135037,31.892166677,1.2273025337,1.44,0.5,-0.6,58.166666667
2007,9,NH25,2,0,22.083333335,45.5,12.986050035,32.080805015,1.1195412885,0.91,-0.36,-0.8,54.5
2007,10,NH25,3,0.4663646713,0,21.833333333,12.199815333,32.197585183,1.5808054597,1.27,-1.45,-1.1,78.166666667
2007,11,NH25,2,0,0,21,11.171385,32.31209526,1.664267294,0.73,-1.08,-1.2,79
2007,12,NH25,1,1.796407583,0,0,9.677060032,32.73771496,1.645476705,0.46,-0.58,-1.3,107
2008,2,NH25,1,0,0,0,8.639134932,32.4222353,1.646830099,1.14,-0.77,-1.3,100.5
2008,3,NH25,2,0.6985666825,0,9,8.931210089,32.17231483,1.573431342,1.37,-0.71,-1.1,91
2008,4,NH25,2,5.439366419,0,7.75,8.853148559,31.465911365,1.591784453,1.4,-1.52,-0.9,92.25
2008,5,NH25,4,34.864327995,0,14.625,10.152559406,30.773130433,1.4873961978,1.74,-1.37,-0.7,85.375
2008,6,NH25,2,45.308924345,0,27.75,10.948132433,31.64797258,1.3447375575,1.28,-1.34,-0.5,72.25
2008,7,NH25,3,36.870300908,0,24,10.948987718,32.066595533,1.334591353,1.43,-1.67,-0.3,76
2008,8,NH25,2,7.4797906,0,7.5,15.30398238,31.75822501,1.54313141,2.14,-1.7,-0.2,100.75
2008,9,NH25,2,2.9429176115,14.583333335,45.75,10.194940067,32.81434002,1.0993488115,2.23,-1.55,-0.2,54.25
2008,10,NH25,3,2.1165554913,0,24.5,12.7128633,32.19260499,1.4057692117,1.77,-1.76,-0.3,75.5
2008,11,NH25,1,0,0,1,11.86360011,32.28553486,1.602070741,1.97,-1.25,-0.5,99
2008,12,NH25,1,3.705896251,0,0,11.56267004,32.32477493,1.852540914,0.45,-0.87,-0.7,140
2009,1,NH25,2,3.8042126315,0,10.5,9.255362463,32.377455045,1.7131295725,0.72,-1.4,-0.8,91.75
2009,2,NH25,2,4.7599600385,0,15,8.8616874695,32.40402527,1.4789297025,0.91,-1.55,-0.7,85
2009,3,NH25,1,4.433221524,0,0,9.083059978,32.40631523,1.651613009,0.33,-1.59,-0.4,120
2009,4,NH25,1,7.259684821,0,15.5,9.242215061,31.66657495,1.698321043,0.42,-1.65,-0.1,84.5
2009,5,NH25,2,59.493680635,0,21.5,10.65489001,31.56104517,1.452758314,0.55,-0.88,0.2,78.5
2009,6,NH25,3,34.873451367,0,23.666666667,11.10698066,31.579639143,1.378025093,0.37,-0.31,0.4,76.333333333
2009,7,NH25,3,7.231673586,24.166666668,54.5,11.9813198,32.003773237,1.0383020783,0.56,-0.53,0.5,45.5
2009,8,NH25,2,1.158780214,3.75,31.5,12.126993605,32.33694726,1.1829148645,0.72,0.09,0.6,68.5
2009,9,NH25,2,0.952519484,0,24.5,13.92114499,32.370604895,1.3956995155,0.98,0.52,0.7,75.5
2009,10,NH25,2,1.967732523,0,30.75,13.430455015,32.231410025,1.531045217,1.15,0.27,1,69.25
2009,11,NH25,1,0.973634483,0,2.5,12.92130515,32.20651084,1.973936137,1.05,-0.4,1.2,97.5
2010,2,NH25,2,1.5345532525,0,0,10.814852065,32.51181828,1.839560644,1.84,0.82,1.1,141.75
2010,3,NH25,1,0,0,0,10.60820999,32.55178471,1.827720234,1.65,0.44,0.8,144
2010,4,NH25,1,11.73481941,0,0,10.4220849,32.56123486,1.777009071,1.18,0.78,0.5,112
2010,5,NH25,3,20.187008385,0,0,11.721562477,31.396282117,1.8006728853,1.87,0.62,0,107.83333333
2010,6,NH25,4,25.218685219,0,1.375,13.15607735,30.593237388,1.7676646095,1.24,-0.22,-0.4,102.25
2010,7,NH25,2,2.933908773,0,2.25,12.11278307,31.603056055,1.6080997035,1.15,-1.05,-0.8,99.25
2010,8,NH25,2,4.1807716705,0,20.1,11.71311306,32.067132355,1.376788512,1.08,-1.27,-1.1,79.9
2010,9,NH25,4,0,2.9166666675,32.5,13.539059408,32.119991137,1.2140768503,1,-1.61,-1.3,67.5
2010,10,NH25,2,2.83199122,0,36.5,11.65310502,32.41519508,1.143513866,1.61,-1.06,-1.4,63.5
2010,11,NH25,1,8.794371235,0,13.66666667,12.93127999,32.31308479,1.611494902,0.99,-0.82,-1.3,86.33333333
2011,1,NH25,1,7.831071373,0,0,9.950489902,32.24023933,1.765722122,0.32,-0.92,-1.3,127
2011,2,NH25,1,3.638679497,0,2,9.051679945,32.06405468,1.733131618,0.55,-0.83,-1.1,98
2011,4,NH25,1,1.390793486,0,0,9.873585081,31.84079008,1.772901915,0.6,-0.42,-0.6,113.5
2011,5,NH25,2,19.607389565,0,0,11.07740741,30.210880435,1.7091655455,1.39,-0.37,-0.3,105.8
2011,6,NH25,3,21.1962276,0,7.3333333333,12.861863263,29.88080651,1.6544267017,1.11,-0.69,-0.2,92.666666667
2011,7,NH25,1,0,0,35.5,14.4319578,31.24817908,1.388878814,1.04,-1.86,-0.3,64.5
2011,8,NH25,2,4.388269444,36.416666665,61.85,9.6467725515,32.374342535,0.988383693,1.04,-1.74,-0.5,38.15
2011,9,NH25,3,0,10.277777777,41.214285713,12.74337333,32.171680167,1.1708927543,1.33,-1.79,-0.7,58.785714287
2011,10,NH25,2,2.310300254,0,22,14.4019358,31.980239915,1.449003833,1.2,-1.34,-0.9,78
2011,12,NH25,1,0,0,12.5,10.27696313,32.19930006,1.59574892,0.13,-1.79,-0.8,87.5
2012,1,NH25,1,0,0,31,9.566599846,32.49986649,1.687634871,0.83,-1.38,-0.7,69
2012,3,NH25,2,1.6568775265,0,2,8.770973669,32.442914195,1.63026316,1.12,-1.05,-0.5,103.25
2012,4,NH25,2,0,0,0,9.720685776,32.357121905,1.6788423215,1.93,-0.27,-0.4,114.5
2012,5,NH25,3,72.949926017,0,0.5,11.150625597,31.53384826,1.6744414443,1.63,-1.26,-0.3,105.83333333
2012,6,NH25,2,22.079270171,0,0,12.90443251,31.271142295,1.744337655,1.94,-0.87,-0.1,106
2012,7,NH25,2,1.0898502865,0,24,15.01144174,30.56513927,1.883868888,1.86,-1.52,0.1,76
2012,8,NH25,2,0,0,37,14.064757415,31.16841512,1.18495044,1.73,-1.93,0.3,63
2012,9,NH25,3,0,0.8333333333,35.833333333,12.173325517,32.163377167,1.2562881457,1.36,-2.21,0.4,64.166666667
2012,10,NH25,2,0,0,30.5,11.23868003,32.72394009,1.231523031,1.87,-0.79,0.4,69.5
2012,11,NH25,1,2.128919329,0,15,11.79494495,32.34169502,1.445299603,1.4,-0.59,0.2,85
2013,1,NH25,1,5.608526576,0,0,10.30421495,32.42184448,1.767762173,1.23,-0.14,-0.4,119
2013,3,NH25,2,28.328896465,0,8.75,9.1280656515,31.82355834,1.597703414,0.64,-0.63,-0.3,91.25
2013,4,NH25,2,18.356556575,0,20.5,10.43797007,30.21625013,1.44864008,0.48,-0.16,-0.2,79.5
2013,5,NH25,2,102.427559,0,22.75,11.40145998,31.256792545,1.348017798,0.85,0.08,-0.2,77.25
2013,6,NH25,1,0,0,17,13.76389008,30.79535503,1.299190887,0.73,-0.78,-0.2,83
2013,7,NH25,1,0,0,30,9.447430038,32.48848972,1.254506656,0.45,-1.25,-0.2,70
2013,8,NH25,2,2.770065334,50.83333333,70.5,9.579220057,32.68332958,1.023919113,0.56,-1.04,-0.2,29.5
2013,10,NH25,2,0,0,13.066666665,14.760505035,31.92638998,1.407634041,-0.15,-0.87,-0.2,86.933333335
2013,11,NH25,1,0,17.5,50.5,11.86283503,32.10564995,1.120606177,-0.8,-0.11,-0.2,49.5
2013,12,NH25,1,10.76494887,0,14,10.52969499,32.23260021,1.397351235,-1.45,-0.41,-0.3,86
2014,1,NH25,1,0,0,30.5,8.93155508,32.61960526,1.334813567,-0.39,0.3,-0.5,69.5
2014,2,NH25,1,0,0,0,9.012994957,32.73789482,1.631505098,-0.27,0.38,-0.6,104.7142857
2014,4,NH25,1,0,0,12,10.78070493,32.33412018,1.740833557,-0.62,1.13,-0.2,88
2014,5,NH25,1,6.60492247,0,18,12.20875998,31.840345,1.718075096,0.23,1.8,0,82
2014,6,NH25,2,5.055191883,0,8.25,13.719115045,31.491799975,1.5628550905,-0.42,0.82,0,95.5
2014,7,NH25,2,0,7.5,36.75,13.450755,31.646872475,1.2173856385,-0.13,0.7,0,63.25
2014,8,NH25,1,0.953454124,4.444444444,42.66666667,10.71575994,32.49303436,1.123739511,-0.55,0.67,0,57.33333333
2014,9,NH25,1,0,0,0.5,15.73217789,32.11185551,1.558950124,-0.78,1.08,0.2,99.5
2014,10,NH25,1,0,0,14.5,17.06465483,32.02278996,1.626233448,0.42,1.49,0.4,85.5
2014,11,NH25,1,0,0,0,14.45263996,32.51622543,1.858551472,0.31,1.72,0.6,117
2015,1,NH25,3,0,0,0,12.491663963,32.314975987,1.9309087707,-1.11,2.45,0.5,113
2015,2,NH25,1,0,0,0,12.68437004,32.30556011,1.93044277,-1.47,2.3,0.4,134.5
2015,3,NH25,2,0,0,0,12.067592455,32.025369885,1.903930827,-1.79,2,0.5,112.25
2015,4,NH25,2,4.201229382,0,0,12.2485949,30.79644995,1.658630485,-1.39,1.44,0.7,106
2015,5,NH25,2,7.034351785,0,0,12.573517395,30.69253312,1.6118043295,-0.52,1.2,0.9,123.5
2015,6,NH25,2,9.9158293685,0,0,12.65324006,32.20719471,1.591128615,-0.95,1.54,1,115
2015,7,NH25,2,0.727461777,0,32.76960784,14.02339338,32.507511125,1.1327209515,-1.06,1.84,1.2,67.23039216
2015,8,NH25,2,21.53001941,0,2.9615384615,13.596351675,32.285864705,1.600985032,-1.6,1.56,1.5,97.53846154
2015,9,NH25,1,7.483042472,0,14.5,14.16978946,32.2969005,1.373252601,-2.05,1.94,1.8,85.5
2015,10,NH25,2,20.130924225,0,0,15.122843695,31.98921605,1.545909904,-2.16,1.47,2.1,111.15
2015,11,NH25,1,4.25624947,0,0,14.01265502,32.62636051,1.597384723,-2.25,0.86,2.2,106.4285714
2016,1,NH25,1,0,,,,,,1.06,1.53,2.2,
2016,2,NH25,1,0,0,0,11.32707897,32.41018978,2.082105029,0.06,1.75,1.9,127.5
2016,3,NH25,1,0,0,0,11.43728995,32.4396452,1.893008404,0.7,2.4,1.5,123.3333333
2016,4,NH25,1,22.73508516,0,0,12.1319158,31.337963,1.881989751,-0.17,2.62,1.1,100.5
2016,5,NH25,1,21.78041289,0,10.5,12.68104734,31.61436332,1.698139096,-0.39,2.35,0.6,89.5
2016,6,NH25,1,13.17363683,0,14.5,13.23396336,31.05233704,1.778154303,-0.07,2.03,0,85.5
