SigmaPlotDate,YYYY,MM,NPGO,PDO,ONI,SouthernLog10Biomass,NorthernLog10Biomass,SouthernBiomassAnomaly,NorthernBiomassAnomaly,SppRichnessMo,SppRichnessAnom,50mT,50mSal,50mOxy,50mTAnom,50mSalAnom,50mOxyAnom
1/16/1996,1996,1,-0.64,0.59,-0.9,,,,,,,,,,,,
2/16/1996,1996,2,-1.05,0.75,-0.7,,,,,,,,,,,,
3/16/1996,1996,3,-1.15,1.01,-0.6,,,,,,,,,,,,
4/16/1996,1996,4,-0.44,1.46,-0.4,,,,,,,,,,,,
5/16/1996,1996,5,-1.27,2.18,-0.2,0.724622222,0.496733333,0.380507973,-1.207069136,9,-1.458333333,,,,,,
6/16/1996,1996,6,-1.06,1.1,-0.2,0.392877778,1.592933333,0.150426142,-0.393312701,8,-1.73287037,,,,,,
7/16/1996,1996,7,-0.88,0.77,-0.2,0.113605556,2.27645,-0.100648158,0.042712685,7.5,-2.484259259,,,,,,
8/16/1996,1996,8,-0.75,-0.14,-0.3,0.211394444,2.14045,-0.03305787,-0.216869136,8.5,-1.212962963,,,,,,
9/16/1996,1996,9,-0.93,0.24,-0.3,0.389055556,2.1811,0.050256677,0.11357966,9,-1.017592593,,,,,,
10/16/1996,1996,10,-1.04,-0.33,-0.4,0.419205556,1.877383333,0.001065586,0.234726389,10,-1.027777778,,,,,,
11/16/1996,1996,11,-1.1,0.09,-0.4,0.662255556,1.041766667,0.07490216,-0.097492593,11,-2.194444444,,,,,,
12/16/1996,1996,12,-1.35,-0.03,-0.5,0.644833333,1.322066667,0.03069,0.315815556,13,-2.1,,,,,,
1/16/1997,1997,1,-1.64,0.23,-0.5,,,,,,,,,,,,
2/16/1997,1997,2,-1.11,0.28,-0.4,0.726177778,1.181566667,0.020690509,-0.019424653,12,-2.072916667,,,,,,
3/16/1997,1997,3,-0.62,0.65,-0.2,0.521,1.639966667,-0.040848312,0.304264706,12,-0.862745098,9.985199928,32.12039948,,0.534281075,-0.790027638,
4/16/1997,1997,4,-0.51,1.05,0.1,0.620183333,1.293166667,0.128544227,-0.203883987,13.5,1.181372549,8.668700218,33.13805008,,-0.150161117,-0.133571887,
5/16/1997,1997,5,-0.88,1.83,0.6,0.245685185,1.787266667,-0.098429064,0.083464198,9.333333333,-1.125,8.692000071,33.35880152,,0.653995931,-0.259112005,
6/16/1997,1997,6,-0.94,2.76,1,0.135966667,1.18585,-0.106484969,-0.800396034,6.5,-3.23287037,8.143899918,33.74160004,,0.470236112,-0.013762081,
7/16/1997,1997,7,-0.77,2.35,1.4,0.298366667,1.898286667,0.084112953,-0.335450648,7.8,-2.184259259,7.867524981,33.8604002,,0.465171737,-0.019743248,
8/16/1997,1997,8,-0.79,2.79,1.7,0.436590741,2.040322222,0.192138426,-0.316996914,9.833333333,0.12037037,8.84496665,33.69616636,,1.123943089,-0.122666602,
9/16/1997,1997,9,-0.48,2.19,2,0.770583333,1.38295,0.431784455,-0.68457034,14.5,4.482407407,11.49409993,33.23783366,,3.178999598,-0.46965939,
10/16/1997,1997,10,-0.59,1.61,2.2,0.8081,0.271966667,0.389960031,-1.370690278,12,0.972222222,10.74740028,33.1556015,,1.751712733,-0.348280271,
11/16/1997,1997,11,0.17,1.12,2.3,0.923211111,0.465916667,0.335857716,-0.673342593,12.5,-0.694444444,11.94999981,33.07899857,,1.449098321,0.050879647,
12/16/1997,1997,12,0.26,0.67,2.3,0.684077778,0,0.069934444,-1.006251111,16,0.9,12.91749954,32.58069992,,2.638028179,-0.275413922,
1/16/1998,1998,1,0.53,0.83,2.1,0.896622222,0.233033333,0.089466204,-0.9116625,12,-2.708333333,12.52799988,32.45600128,,2.273758213,-0.246582747,
2/16/1998,1998,2,1.9,1.56,1.8,,,,,,,,,,,,
3/16/1998,1998,3,0.89,2.01,1.4,0.846261111,0.327583333,0.2844128,-1.008118627,16.5,3.637254902,11.01889992,33.11434937,,1.567981064,0.203922252,
4/16/1998,1998,4,0.52,1.27,1,0.757438889,0.293566667,0.265799782,-1.203483987,12.75,0.431372549,9.988025188,33.13172531,,1.169163854,-0.139896655,
5/16/1998,1998,5,0.28,0.7,0.5,0.788344444,0.710666667,0.444230195,-0.993135802,15,4.541666667,9.52575016,33.07575035,,1.48774602,-0.542163178,
6/16/1998,1998,6,0.12,0.4,-0.1,0.824940741,0.831688889,0.582489105,-1.154557145,15,5.26712963,8.76197505,33.44517422,,1.088311245,-0.3101879,
